table_name,field_name,field_alias,field_description,unit,missing_pct,share_zero,skewness,distribution_shape,recommended_transform,pros,cons
ANALYSIS_DIS_AC,BLK_CRACK_A,Block Cracking Area Total,Total area of block cracking.,sq m,0.0,0.9514392608994426,6.0589531875299825,binary_like,binary_classification,high coverage; physically interpretable unit (sq m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable; may overlap with related severity-specific or aggregate fields"
ANALYSIS_DIS_AC,BLK_CRACK_A_H,High Severity Block Cracking Area,Area of high severity block cracking. (Mean crack width greater than 19 mm or under 19 mm with moderate to high severity random cracking.),sq m,0.0,0.9876307551347637,12.3899750719336,binary_like,binary_classification,high coverage; physically interpretable unit (sq m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable"
ANALYSIS_DIS_AC,BLK_CRACK_A_L,Low Severity Block Cracking Area,Area of low severity block cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),sq m,0.0,0.9739635030923112,9.955228269032885,binary_like,binary_classification,high coverage; physically interpretable unit (sq m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable; may overlap with related severity-specific or aggregate fields"
ANALYSIS_DIS_AC,BLK_CRACK_A_M,Medium Severity Block Cracking Area,Area of moderate severity block cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),sq m,0.0,0.9793845918912728,10.539240264194252,binary_like,binary_classification,high coverage; physically interpretable unit (sq m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable"
ANALYSIS_DIS_AC,POTHOLES_A_L,Low Severity Pothole Area,Area of low severity potholes (less than 25 mm deep).,sq m,0.0,0.9910666564862182,38.99200825687655,binary_like,binary_classification,high coverage; physically interpretable unit (sq m),"mostly zeros, so plain regression is unstable; may overlap with related severity-specific or aggregate fields"
ANALYSIS_DIS_AC,POTHOLES_A_M,Medium Severity Pothole Area,Area of moderate severity potholes (from 25 to 50 mm deep).,sq m,0.0,0.9927464304802627,25.687693797709006,binary_like,binary_classification,high coverage; physically interpretable unit (sq m),"mostly zeros, so plain regression is unstable"
ANALYSIS_DIS_AC,EDGE_CRACK_L_L,Low Severity Edge Crack Length,Length of low severity edge cracking.,m,0.007635336336565626,0.9860262675626146,14.053653325699182,binary_like,binary_classification,high coverage; physically interpretable unit (m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable; may overlap with related severity-specific or aggregate fields"
ANALYSIS_DIS_AC,EDGE_CRACK_L_M,Medium Severity Edge Crack Length,Length of moderate severity edge cracking.,m,0.007635336336565626,0.9938149053145999,19.667464411408428,binary_like,binary_classification,high coverage; physically interpretable unit (m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable"
ANALYSIS_DIS_AC,EDGE_CRACK_L_H,High Severity Edge Crack Length,Length of high severity edge cracking.,m,0.015270672673131251,0.9973272241313479,29.659901556222415,binary_like,binary_classification,high coverage; physically interpretable unit (m); directly measures pavement condition rather than a code or event marker,"mostly zeros, so plain regression is unstable"
ANALYSIS_DIS_AC,PATCH_A_H,High Severity Patches Area,Area of patching with high severity distress or patch deterioration.,sq m,0.015270672673131251,0.956090110729286,17.46049969098738,binary_like,binary_classification,high coverage; physically interpretable unit (sq m),"mostly zeros, so plain regression is unstable"
