column,missing_pct
temp_bind_degree_days_over_10c_yr,0.0
temp_bind_coldest_air_temp,0.0
temp_bind_high_temp_7days,0.0
temp_bind_max_avg_temp_high_7days,0.0
temp_bind_max_temp_high_7days,0.0
temp_bind_min_surface_50_temp,0.0
temp_bind_min_surface_98_temp,0.0
temp_bind_stddev_high_temp_7days,0.0
temp_bind_stddev_coldest_air_temp,0.0
humid_rel_hum_avg_avg,0.0
precip_precipitation,0.0
precip_evaporation,0.0
precip_precip_days,0.0
wind_wind_velocity_avg,0.0
solar_cloud_cover_avg,0.0
solar_shortwave_surface_avg,0.0
temp_year_temp_avg,0.0
temp_year_temp_mean_avg,0.0
temp_year_freeze_index,0.0
temp_year_freeze_thaw,0.0
