feature,type,missing_pct_before_imputation,variance_before_imputation,std_before_imputation,near_zero_variance,gt_50pct_missing,best_annual_match,best_annual_correlation
monthlyagg_cloud_cover_std,monthlyagg,0.0,0.021599682525826218,0.14696830449394938,False,False,humid_rel_hum_avg_avg_annual,0.6677300095200522
monthlyagg_cloud_cover_summer_mean,monthlyagg,0.0,0.0781299453414573,0.2795173435432179,False,False,precip_evaporation_annual,0.5039099229819758
monthlyagg_freeze_thaw_active_months,monthlyagg,0.0,4.863132230803151,2.205251058451883,False,False,temp_year_freeze_thaw,0.8873801981830196
monthlyagg_humidity_max,monthlyagg,0.0,109.9370522976594,10.485087138295961,False,False,humid_rel_hum_avg_avg_annual,0.887134366255837
monthlyagg_humidity_std,monthlyagg,0.0,16.33791374717461,4.042018523853473,False,False,precip_evaporation_annual,-0.6046603676817079
monthlyagg_humidity_summer_mean,monthlyagg,0.0,289.23166338577437,17.006812264083308,False,False,humid_rel_hum_avg_avg_annual,0.9394280827042607
monthlyagg_precipitation_max,monthlyagg,0.0,7546.288340498754,86.869375158906,False,False,precip_precipitation_annual,0.7919457629581823
monthlyagg_precipitation_std,monthlyagg,0.0,535.8389787454228,23.148196014925716,False,False,precip_precipitation_annual,0.6917882306319091
monthlyagg_precipitation_summer_sum,monthlyagg,0.0,23464.92703731484,153.18265906203234,False,False,precip_precipitation_annual,0.7032828616117477
monthlyagg_precipitation_wet_month_count,monthlyagg,0.0,5.548509508341328,2.355527437399388,False,False,precip_precipitation_annual,0.9098698327034259
monthlyagg_precipitation_winter_sum,monthlyagg,0.0,21742.95562314244,147.4549274291722,False,False,precip_precipitation_annual,0.7079097811764291
monthlyagg_shortwave_surface_max,monthlyagg,0.0,530923.514422491,728.6449851762454,False,False,humid_rel_hum_avg_avg_annual,-0.8383610081552566
monthlyagg_shortwave_surface_std,monthlyagg,0.0,96776.98359594989,311.0899927608567,False,False,temp_year_temp_avg,-0.7000083641644861
monthlyagg_shortwave_surface_summer_mean,monthlyagg,0.0,476852.57666010706,690.5451300676206,False,False,precip_evaporation_annual,-0.8130724733469701
monthlyagg_temp_avg_max,monthlyagg,0.0,14.673996673037701,3.830665304230807,False,False,temp_year_temp_avg_annual,0.8655434180784366
monthlyagg_temp_avg_min,monthlyagg,0.0,55.46217196701208,7.447292928777012,False,False,temp_year_temp_mean_avg_annual,0.9409822810500874
monthlyagg_temp_avg_range,monthlyagg,0.0,28.128420037181264,5.303623293294996,False,False,temp_year_freeze_index_annual,0.7169400819604604
monthlyagg_temp_avg_std,monthlyagg,0.0,3.099862090149219,1.760642521964416,False,False,temp_year_freeze_index_annual,0.7261264491996932
monthlyagg_temp_avg_summer_mean,monthlyagg,0.0,15.382575511491707,3.9220626603219517,False,False,temp_year_temp_avg_annual,0.9049607434397257
monthlyagg_temp_avg_winter_mean,monthlyagg,0.0,49.322516147164045,7.022999084946832,False,False,temp_year_temp_mean_avg_annual,0.9607587202893476
monthlyagg_wind_max,monthlyagg,0.0,1.9745340917259815,1.4051811597534254,False,False,wind_wind_velocity_avg,0.9413066865604423
monthlyagg_wind_range,monthlyagg,0.0,0.5656517423288985,0.7520982265162567,False,False,wind_wind_velocity_avg,0.6214352114227915
monthlyagg_wind_std,monthlyagg,0.0,0.056254693470828655,0.23718071901153487,False,False,wind_wind_velocity_avg,0.6543392747392214
