feature_name,feature_family,variance,missingness_pct,closest_annual_feature,closest_abs_correlation,recommendation
monthly_m3_temp_avg_mean,temp,69.95347350995677,3.1257877489286616,annual_t1_t5_temp_year_temp_mean_avg_max,0.5282593466554393,keep
monthly_m3_temp_avg_min,temp,88.04554868368771,3.1257877489286616,annual_t1_t5_temp_year_temp_mean_avg_max,0.5380440297645664,keep
monthly_m3_temp_avg_max,temp,51.51254873498546,3.1257877489286616,annual_t1_t5_temp_year_temp_avg_max,0.5104448561137009,keep
monthly_m3_temp_avg_range,temp,17.249507854736265,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_mean,0.35239342425983194,keep
monthly_m3_temp_avg_std,temp,2.9236985167970473,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_sum,0.3643095374423709,keep
monthly_m3_temp_extreme_cold_months,temp,0.2584841665155668,3.1257877489286616,annual_t1_t5_temp_year_temp_mean_avg_min,0.2512143866899203,keep
monthly_m3_temp_extreme_hot_months,temp,0.45187528854988346,3.1257877489286616,annual_t1_precip_evaporation_sum,0.042445116108720295,keep
monthly_m3_freeze_thaw_active_months,freeze,1.4099172108376754,3.1257877489286616,annual_t1_t5_temp_year_freeze_thaw_sum,0.4046311173239926,keep
monthly_m3_freeze_thaw_total,freeze,373.19406381678,3.1257877489286616,annual_t1_t3_temp_year_freeze_thaw_mean,0.48843511557408986,keep
monthly_m3_freeze_index_total,freeze,17749.35968121576,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_sum,0.5700698839381312,keep
monthly_m3_freeze_index_max,freeze,6734.2520599943355,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_sum,0.5923791746989739,keep
monthly_m3_precip_total,precip,18123.169370895957,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.6545613823429955,keep
monthly_m3_precip_mean,precip,2013.6854856551065,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.6545613823429952,keep
monthly_m3_precip_max,precip,4621.414932676783,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.5804170476996321,keep
monthly_m3_precip_std,precip,520.4706541026225,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.3551000981455774,keep
monthly_m3_wet_month_count,wet,0.25077912489412435,3.1257877489286616,annual_t1_t3_solar_cloud_cover_avg_min,0.07530741097594958,keep
monthly_m3_extreme_precip_months,extreme,0.3602603217266656,3.1257877489286616,annual_t1_t5_solar_cloud_cover_avg_min,0.07155176536710131,keep
monthly_m3_precip_days_total,precip,0.7631370762411643,3.1257877489286616,annual_t1_t5_humid_rel_hum_avg_avg_min,0.10663710627600703,keep
monthly_m3_precip_days_max,precip,0.0,3.1257877489286616,,,drop
monthly_m3_evap_total,evap,13297.322019568108,3.1257877489286616,annual_t1_t5_precip_evaporation_sum,0.5317456429582185,keep
monthly_m3_humidity_mean,humidity,210.36286763416078,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.8583107692892431,keep
monthly_m3_humidity_max,humidity,181.07701467708398,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.8207396150502277,keep
monthly_m3_humidity_min,humidity,258.70116322319893,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.862469981216805,keep
monthly_m3_humidity_std,humidity,8.365349680200852,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.41512723005573954,keep
monthly_m3_high_humidity_months,high,0.5676531919479113,3.1257877489286616,annual_t1_temp_year_temp_mean_avg_mean,0.169903134643581,keep
monthly_m3_wind_mean,wind,1.5348946643729966,3.1257877489286616,annual_t1_t5_wind_wind_velocity_avg_mean,0.9353952420509548,keep
monthly_m3_wind_max,wind,1.8498201615760839,3.1257877489286616,annual_t1_t5_wind_wind_velocity_avg_mean,0.9233837333673576,keep
monthly_m3_wind_std,wind,0.06374998164871232,3.1257877489286616,annual_t1_t5_wind_wind_velocity_avg_mean,0.3855534523472484,keep
monthly_m3_wind_range,wind,0.30356558350521473,3.1257877489286616,annual_t1_t3_wind_wind_velocity_avg_mean,0.3840334158414471,keep
monthly_m3_high_wind_months,high,1.4837974764550912,3.1257877489286616,annual_t1_t5_wind_wind_velocity_avg_min,0.21529832535289825,keep
monthly_m3_cloud_mean,cloud,0.1443156075034228,3.1257877489286616,annual_t1_t3_solar_shortwave_surface_avg_mean,0.5216547421343414,keep
monthly_m3_cloud_std,cloud,0.055362029264777846,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.22974357131894052,keep
monthly_m3_shortwave_mean,shortwave,2812803.6673659966,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.24514403986625216,keep
monthly_m3_shortwave_max,shortwave,2536437.0524095586,3.1257877489286616,annual_t1_humid_rel_hum_avg_avg_mean,0.27331767886728703,keep
monthly_m3_shortwave_std,shortwave,75852.9312085948,3.1257877489286616,annual_t1_t5_temp_year_temp_avg_max,0.1517527682000903,keep
monthly_m3_high_shortwave_months,high,0.37141722836017654,3.1257877489286616,annual_t1_t3_precip_precip_days_sum,0.08634479848613921,keep
monthly_m6_temp_avg_mean,temp,60.40755499944423,3.1257877489286616,annual_t1_temp_year_temp_mean_avg_mean,0.7411866281019663,keep
monthly_m6_temp_avg_min,temp,70.21810209811213,3.1257877489286616,annual_t1_t5_temp_year_temp_mean_avg_mean,0.8369720833118046,keep
monthly_m6_temp_avg_max,temp,45.56747654482011,3.1257877489286616,annual_t1_temp_year_temp_avg_mean,0.639581292284119,keep
monthly_m6_temp_avg_range,temp,39.71468500722316,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_mean,0.5096804551024148,keep
monthly_m6_temp_avg_std,temp,5.682032414813362,3.1257877489286616,annual_t1_t5_temp_year_freeze_index_sum,0.49356799009167446,keep
monthly_m6_temp_extreme_cold_months,temp,0.7561761568363743,3.1257877489286616,annual_t1_t5_precip_precip_days_sum,0.15174563196924779,keep
monthly_m6_temp_extreme_hot_months,temp,0.7496397559987479,3.1257877489286616,annual_t1_temp_year_temp_mean_avg_mean,0.18351775969058123,keep
monthly_m6_freeze_thaw_active_months,freeze,3.246121339342112,3.1257877489286616,annual_t1_t5_temp_year_freeze_thaw_mean,0.5692993805746717,keep
monthly_m6_freeze_thaw_total,freeze,1001.9928637032139,3.1257877489286616,annual_t1_temp_year_freeze_thaw_sum,0.7016036659733114,keep
monthly_m6_freeze_index_total,freeze,101543.0290846093,3.1257877489286616,annual_t1_t3_temp_year_freeze_index_sum,0.75352848478577,keep
monthly_m6_freeze_index_max,freeze,17997.598356846498,3.1257877489286616,annual_t1_temp_year_freeze_index_sum,0.8213451717018301,keep
monthly_m6_precip_total,precip,50621.35325368376,3.1257877489286616,annual_t1_t3_precip_precipitation_sum,0.790036823099284,keep
monthly_m6_precip_mean,precip,1406.1487014912157,3.1257877489286616,annual_t1_t3_precip_precipitation_mean,0.7900368230992836,keep
monthly_m6_precip_max,precip,5074.125426569049,3.1257877489286616,annual_t1_t5_precip_precipitation_mean,0.6377381411711766,keep
monthly_m6_precip_std,precip,477.10820761059136,3.1257877489286616,annual_t1_t5_precip_precipitation_sum,0.45086762474109504,keep
monthly_m6_wet_month_count,wet,0.46754597455665103,3.1257877489286616,annual_t1_t5_solar_cloud_cover_avg_min,0.08915818662808582,keep
monthly_m6_extreme_precip_months,extreme,0.5726247064557803,3.1257877489286616,annual_t1_t3_precip_precip_days_sum,0.10485660404832939,keep
