treated_node_id,control_node_id,state_code,functional_class,treated_cracking_change,control_cracking_change,treated_traffic_change,control_traffic_change,treated_esal_change,control_esal_change
42_A411,42_3044,42,1.0,0.0,0.0,-139.0,512.0,-30088.0,-541061.0
42_1690,42_3044,42,1.0,20.0,0.0,-182.0,512.0,-76000.0,-541061.0
53_7322,53_1006,53,2.0,6.0,2.0,-2.0,83.0,-16221.0,9318.0
40_4086,40_4164,40,6.0,0.0,0.0,121.0,12.0,32422.0,2594.0
53_3013,53_6056,53,2.0,0.0,-1.0,183.0,135.0,-13474.0,-4916.0
49_7083,49_3015,49,11.0,-8.0,0.0,166.0,376.0,128695.0,154822.0
56_7773,56_1007,56,6.0,0.0,2.0,11.0,6.0,2000.0,-2920.0
36_A310,36_4017,36,2.0,1.0,0.0,-88.0,79.0,-19981.0,35245.0
36_1643,36_4017,36,2.0,13.0,0.0,286.0,79.0,40650.0,35245.0
36_A320,36_4017,36,2.0,3.0,0.0,1.0,79.0,-1056.0,35245.0
36_A330,36_4017,36,2.0,0.0,0.0,1.0,79.0,-1056.0,35245.0
36_A331,36_4017,36,2.0,18.0,0.0,1.0,79.0,-1056.0,35245.0
36_B331,36_B353,36,6.0,0.0,,-31.0,-10.0,-5337.0,-2479.0
49_3015,49_7083,49,11.0,0.0,0.0,72.0,851.0,32557.0,624997.0
6_8156,6_8150,6,6.0,6.0,-46.0,101.0,8.0,46000.0,2159.0
6_A442,6_3021,6,1.0,0.0,4.0,79.0,19.0,29000.0,-111620.0
6_A443,6_3021,6,1.0,0.0,4.0,79.0,19.0,10894.0,-111620.0
6_B410,6_7491,6,1.0,4.0,-27.0,49.0,1010.0,113018.0,339932.0
6_B420,6_B442,6,1.0,7.0,0.0,49.0,49.0,113018.0,113018.0
6_B441,6_B420,6,1.0,12.0,7.0,49.0,49.0,113018.0,113018.0
6_B442,6_B420,6,1.0,0.0,7.0,49.0,49.0,113018.0,113018.0
6_B443,6_B420,6,1.0,11.0,3.0,15.0,352.0,-101245.0,206236.0
42_1608,42_B350,42,6.0,,1.0,10.0,5.0,4048.0,5548.0
56_7775,56_6032,56,7.0,0.0,0.0,-11.0,53.0,8161.0,7983.0
48_1093,48_6079,48,1.0,7.0,2.0,434.0,411.0,110887.0,294182.0
42_1606,42_1614,42,2.0,9.0,-26.0,25.0,133.0,32078.0,89876.0
42_C411,42_1614,42,2.0,0.0,6.0,193.0,143.0,20095.0,43000.0
42_C430,42_1614,42,2.0,-11.0,-26.0,193.0,133.0,20095.0,89876.0
42_C410,42_1614,42,2.0,,6.0,130.0,143.0,41701.0,43000.0
32_2027,32_A452,32,1.0,1.0,,-28.0,33.0,-31849.0,104696.0
56_6029,56_6031,56,2.0,-13.0,-2.0,9.0,11.0,-3250.0,2446.0
56_6032,56_B310,56,7.0,,,,-5.0,,-3000.0
56_1007,56_7773,56,6.0,2.0,0.0,6.0,-12.0,-2920.0,-2000.0
49_1017,49_1001,49,6.0,16.0,-10.0,,-3.0,,-1767.0
56_2015,56_2020,56,1.0,38.0,0.0,66.0,99.0,18863.0,36496.0
37_3816,37_1992,37,2.0,0.0,0.0,224.0,161.0,101691.0,32321.0
39_9022,39_4018,39,11.0,0.0,-6.0,16.0,40.0,9986.0,114000.0
37_5037,37_1006,37,11.0,0.0,0.0,154.0,1037.0,50165.0,162757.0
37_5827,37_3816,37,2.0,1.0,,-58.0,13.0,-22683.0,4257.0
50_1004,50_1002,50,2.0,-28.0,,-23.0,-50.0,-3100.0,-10726.0
42_1597,42_1608,42,6.0,0.0,,-13.0,10.0,2159.0,4048.0
42_B351,42_1608,42,6.0,1.0,,14.0,10.0,-7785.0,4048.0
42_B330,42_1608,42,6.0,0.0,,17.0,10.0,1488.0,4048.0
42_B350,42_1608,42,6.0,1.0,,5.0,10.0,5548.0,4048.0
42_A340,42_1599,42,14.0,0.0,0.0,148.0,47.0,152704.0,22000.0
42_A330,42_1599,42,14.0,0.0,0.0,-210.0,47.0,-54612.0,22000.0
8_3032,8_7035,8,1.0,0.0,0.0,127.0,-32.0,147828.0,-87861.0
8_1029,8_B350,8,2.0,-1.0,-1.0,-8.0,-15.0,-1150.0,28159.0
16_3023,16_3017,16,1.0,,0.0,65.0,-102.0,38671.0,-62547.0
16_1020,16_9032,16,2.0,1.0,1.0,206.0,,65415.0,
16_3017,16_5025,16,1.0,0.0,2.0,180.0,48.0,110376.0,17481.0
6_3017,6_9049,6,12.0,0.0,6.0,833.0,-429.0,112599.0,-99000.0
32_3010,32_AA61,32,1.0,0.0,-8.0,-102.0,140.0,361148.0,
6_3042,6_3024,6,1.0,,0.0,-334.0,-927.0,-116000.0,-76000.0
42_9027,42_1627,42,1.0,0.0,0.0,455.0,106.0,149468.0,69642.0
42_3044,42_1627,42,1.0,0.0,0.0,512.0,106.0,-541061.0,69642.0
6_9048,6_8534,6,1.0,9.0,-14.0,199.0,-58.0,49165.0,-14443.0
51_5008,51_1464,51,11.0,,-3.0,-150.0,76.0,-32303.0,64000.0
54_4003,54_5007,54,2.0,0.0,,33.0,-18.0,39387.0,74380.0
46_7049,46_9197,46,6.0,,0.0,42.0,4.0,26360.0,1750.0
6_2038,6_A363,6,2.0,-3.0,5.0,11.0,24.0,,2431.0
46_3052,46_3009,46,1.0,0.0,,3.0,-95.0,1020.0,-52743.0
6_3030,6_7455,6,1.0,13.0,-2.0,54.0,-131.0,-63000.0,71000.0
6_2002,6_2041,6,2.0,0.0,-1.0,8.0,-141.0,2657.0,
6_3021,6_8534,6,1.0,4.0,20.0,19.0,-127.0,-111620.0,-77000.0
6_7493,6_7456,6,1.0,0.0,4.0,225.0,259.0,190435.0,117171.0
36_4017,36_A320,36,2.0,0.0,-40.0,79.0,,35245.0,
8_7776,8_3032,8,1.0,0.0,3.0,142.0,-278.0,260969.0,-106780.0
48_3679,48_1130,48,6.0,18.0,7.0,-25.0,5.0,1680.0,-1714.0
41_5021,41_7018,41,1.0,0.0,,-79.0,1101.0,-45280.0,416865.0
49_C451,49_3011,49,1.0,0.0,0.0,90.0,259.0,-7309.0,99444.0
49_C449,49_C431,49,1.0,0.0,-2.0,40.0,208.0,5000.0,65188.0
49_C431,49_C449,49,1.0,-2.0,0.0,208.0,40.0,65188.0,5000.0
49_C444,49_3011,49,1.0,0.0,0.0,208.0,209.0,65188.0,106602.0
49_C450,49_3011,49,1.0,0.0,0.0,208.0,209.0,65188.0,106602.0
49_C452,49_3011,49,1.0,0.0,0.0,208.0,209.0,65188.0,106602.0
49_D410,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D440,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D441,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D443,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D444,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D445,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D446,49_D461,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D448,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D449,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D450,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D451,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D452,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D454,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D455,49_D445,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D459,49_D410,49,14.0,-3.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D461,49_D446,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
49_D462,49_D410,49,14.0,0.0,0.0,-470.0,-470.0,-106088.0,-106088.0
53_B330,53_3013,53,2.0,2.0,0.0,1.0,183.0,25.0,-13474.0
4_D330,4_C310,4,1.0,-3.0,,230.0,35.0,46684.0,8942.0
32_B320,32_A452,32,1.0,11.0,,-25.0,33.0,38000.0,104696.0
4_C310,4_D330,4,1.0,-13.0,-3.0,-183.0,230.0,-47106.0,46684.0
4_C320,4_1024,4,1.0,-15.0,0.0,-183.0,294.0,-52655.0,98082.0
8_B350,8_7780,8,2.0,-1.0,4.0,-15.0,19.0,28159.0,1987.0
53_A330,53_6056,53,2.0,1.0,-1.0,0.0,135.0,-13411.0,-4916.0
55_6352,55_3009,55,2.0,0.0,0.0,51.0,10.0,42486.0,3979.0
55_6354,55_3010,55,2.0,0.0,,51.0,-21.0,45009.0,6000.0
55_6351,55_3009,55,2.0,0.0,0.0,52.0,10.0,20878.0,3979.0
55_6353,55_3010,55,2.0,0.0,,51.0,-21.0,122570.0,6000.0
16_9032,16_1020,16,2.0,1.0,1.0,,206.0,,65415.0
40_4163,40_C350,40,2.0,0.0,1.0,-38.0,-240.0,140200.0,-58174.0
48_3689,48_3855,48,2.0,-38.0,-17.0,6.0,-124.0,744.0,-21312.0
48_A502,48_1068,48,2.0,-1.0,-1.0,5.0,-117.0,1359.0,53402.0
48_A503,48_1069,48,2.0,-7.0,22.0,5.0,-5.0,1359.0,-28689.0
48_A504,48_1068,48,2.0,-1.0,-1.0,5.0,-117.0,1359.0,53402.0
48_A505,48_1068,48,2.0,-1.0,-1.0,5.0,-117.0,1359.0,53402.0
48_A506,48_E430,48,2.0,0.0,0.0,5.0,-23.0,1359.0,38792.0
48_A507,48_1096,48,2.0,-3.0,-3.0,5.0,180.0,1359.0,-48849.0
48_A508,48_1068,48,2.0,-1.0,-1.0,5.0,-117.0,1359.0,53402.0
48_A509,48_E330,48,2.0,-9.0,-4.0,5.0,148.0,1359.0,-30271.0
19_3033,19_3055,19,2.0,,,176.0,192.0,51783.0,140258.0
55_3008,55_A901,55,1.0,,0.0,174.0,92.0,94933.0,37747.0
55_3014,55_B909,55,1.0,0.0,3.0,91.0,703.0,49213.0,283074.0
55_3009,55_3019,55,2.0,,0.0,10.0,-2.0,3979.0,-309.0
21_3016,21_4025,21,1.0,0.0,,185.0,209.0,83669.0,-455540.0
26_9029,26_5363,26,1.0,,5.0,379.0,-194.0,258000.0,-677610.0
18_3031,18_1037,18,6.0,0.0,4.0,33.0,-92.0,5000.0,-16118.0
27_4050,27_B310,27,2.0,0.0,8.0,-5.0,56.0,-1894.0,38813.0
28_3085,28_A330,28,2.0,-10.0,0.0,3.0,16.0,910.0,-4000.0
18_3002,18_3003,18,2.0,0.0,,102.0,225.0,55473.0,88598.0
39_9006,39_5010,39,1.0,-28.0,6.0,178.0,15.0,472000.0,-4000.0
48_1076,48_1087,48,14.0,-1.0,-16.0,-53.0,103.0,-8396.0,13349.0
5_A602,5_3071,5,2.0,0.0,0.0,-41.0,274.0,-132734.0,-62458.0
5_A605,5_3071,5,2.0,0.0,0.0,1432.0,274.0,579755.0,-62458.0
5_A601,5_3071,5,2.0,0.0,0.0,65.0,274.0,23014.0,-62458.0
31_3024,31_3018,31,1.0,,0.0,241.0,-67.0,439098.0,28000.0
12_4138,12_AA02,12,2.0,4.0,-20.0,31.0,-3.0,8804.0,
48_1087,48_1076,48,14.0,-5.0,3.0,-47.0,57.0,1475.0,10007.0
28_3019,28_3091,28,2.0,0.0,0.0,43.0,23.0,18991.0,5000.0
20_3015,20_6026,20,2.0,0.0,0.0,18.0,15.0,5934.0,3355.0
48_1056,48_3689,48,2.0,-22.0,10.0,23.0,35.0,3865.0,7833.0
35_1005,35_6033,35,1.0,0.0,-2.0,465.0,844.0,149249.0,201937.0
19_3028,19_3055,19,2.0,0.0,,-43.0,192.0,-4000.0,140258.0
27_4054,27_1020,27,1.0,11.0,0.0,197.0,323.0,123000.0,36640.0
48_1169,48_F350,48,6.0,0.0,0.0,14.0,129.0,3729.0,21100.0
12_3811,12_4106,12,1.0,0.0,-23.0,508.0,65.0,259361.0,10984.0
19_5042,19_9116,19,1.0,0.0,0.0,90.0,434.0,131000.0,130514.0
31_3023,31_7050,31,1.0,4.0,0.0,297.0,318.0,196758.0,-165528.0
20_4016,20_1009,20,2.0,,,13.0,26.0,2325.0,3606.0
20_4054,20_4063,20,1.0,0.0,-4.0,-158.0,259.0,174012.0,-229640.0
48_3739,48_A507,48,2.0,-4.0,-3.0,13.0,5.0,6070.0,1359.0
48_1046,48_6079,48,1.0,42.0,6.0,143.0,-100.0,116972.0,-387202.0
48_J310,48_L320,48,2.0,1.0,0.0,26.0,-126.0,2000.0,-29598.0
48_J320,48_L350,48,2.0,0.0,-1.0,26.0,-126.0,10564.0,-29284.0
48_J350,48_L320,48,2.0,1.0,0.0,26.0,-126.0,10564.0,-29598.0
48_E420,48_AA02,48,2.0,0.0,2.0,-7.0,140.0,-15373.0,30660.0
48_I320,48_Q350,48,2.0,0.0,0.0,-8.0,-81.0,-9617.0,-30000.0
48_I350,48_Q350,48,2.0,0.0,0.0,-8.0,-81.0,-9687.0,-30000.0
40_B330,40_4154,40,6.0,11.0,-21.0,50.0,118.0,11402.0,5658.0
48_Q350,48_I350,48,2.0,0.0,0.0,-81.0,-8.0,-30000.0,-9687.0
48_B320,48_1092,48,2.0,-5.0,11.0,-170.0,52.0,-49000.0,15000.0
48_B350,48_1096,48,2.0,-3.0,-3.0,-170.0,180.0,-49000.0,-48849.0
48_B310,48_E350,48,2.0,-1.0,0.0,-170.0,148.0,-49000.0,-30271.0
19_6049,19_5046,19,1.0,28.0,1.0,-485.0,89.0,-435000.0,132000.0
29_5000,29_7054,29,1.0,25.0,0.0,-28.0,172.0,-92000.0,96682.0
17_A330,17_B310,17,2.0,1.0,0.0,89.0,-57.0,29000.0,-14148.0
26_C330,26_D351,26,6.0,2.0,0.0,34.0,-120.0,4320.0,-25039.0
26_C351,26_D351,26,6.0,0.0,0.0,10.0,-120.0,1395.0,-25039.0
48_1168,48_9005,48,8.0,-20.0,-21.0,4.0,43.0,0.0,9591.0
20_4052,20_B310,20,2.0,0.0,0.0,37.0,-142.0,13786.0,-33589.0
29_A330,29_AA63,29,2.0,22.0,-1.0,36.0,193.0,6458.0,
29_A310,29_AA01,29,2.0,5.0,-6.0,-22.0,193.0,-3777.0,
29_A320,29_B410,29,2.0,,,-22.0,-232.0,-3852.0,-45227.0
45_5035,45_3012,45,1.0,4.0,-8.0,45.0,-139.0,573992.0,-41502.0
13_1031,13_3020,13,2.0,-1.0,-4.0,716.0,30.0,-6902.0,27598.0
17_B350,17_5908,17,2.0,0.0,1.0,27.0,154.0,6000.0,41960.0
17_1002,17_5908,17,2.0,7.0,1.0,121.0,154.0,31477.0,41960.0
17_B330,17_5908,17,2.0,0.0,1.0,121.0,154.0,31477.0,41960.0
17_B340,17_5908,17,2.0,0.0,1.0,121.0,154.0,31477.0,41960.0
17_B310,17_A330,17,2.0,0.0,1.0,-57.0,89.0,-14148.0,29000.0
31_3033,31_3028,31,2.0,0.0,0.0,82.0,21.0,6000.0,14315.0
48_6179,48_J340,48,2.0,-1.0,7.0,27.0,26.0,-4340.0,1000.0
17_5908,17_1002,17,2.0,1.0,7.0,114.0,121.0,-39547.0,31477.0
20_4063,20_4054,20,1.0,-4.0,0.0,259.0,117.0,-229640.0,-138329.0
48_2108,48_1174,48,2.0,2.0,2.0,-8.0,-6.0,10844.0,11439.0
1_C330,1_B330,1,2.0,-1.0,-15.0,25.0,14.0,5515.0,4099.0
48_1069,48_A503,48,2.0,22.0,-7.0,-5.0,5.0,-28689.0,1359.0
48_1070,48_1092,48,2.0,-13.0,-13.0,215.0,88.0,35790.0,22667.0
17_5843,17_5151,17,1.0,,0.0,-483.0,790.0,-45000.0,611424.0
48_5323,48_5274,48,1.0,7.0,0.0,294.0,236.0,-866028.0,142992.0
19_1044,19_3006,19,2.0,-2.0,,10.0,100.0,4225.0,75637.0
47_B330,47_1028,47,2.0,-1.0,-5.0,60.0,37.0,11480.0,26000.0
48_L310,48_Q353,48,2.0,0.0,0.0,-13.0,-8.0,-3002.0,-5180.0
48_L320,48_E420,48,2.0,0.0,0.0,-126.0,-8.0,-29598.0,8464.0
48_L350,48_J320,48,2.0,-1.0,0.0,-126.0,26.0,-29284.0,10564.0
35_6033,35_1005,35,1.0,1.0,0.0,30.0,465.0,2082.0,149249.0
48_1109,48_1174,48,2.0,7.0,2.0,41.0,-6.0,6194.0,11439.0
48_5154,48_5335,48,1.0,0.0,-1.0,8.0,1048.0,774.0,845369.0
28_1802,28_3085,28,2.0,-3.0,-10.0,-48.0,3.0,-29859.0,910.0
48_1096,48_3689,48,2.0,-34.0,-38.0,252.0,6.0,77295.0,744.0
48_1068,48_1070,48,2.0,11.0,0.0,50.0,290.0,83456.0,82161.0
48_1047,48_2172,48,1.0,-1.0,0.0,300.0,,88577.0,
19_3006,19_1044,19,2.0,0.0,,-7.0,54.0,-167773.0,8561.0
12_1370,12_A320,12,6.0,11.0,-18.0,19.0,131.0,-12759.0,66137.0
48_C430,48_1039,48,2.0,0.0,15.0,22.0,-108.0,129479.0,-98600.0
48_3589,48_3835,48,2.0,6.0,5.0,22.0,54.0,15097.0,172250.0
48_C410,48_3739,48,2.0,6.0,-1.0,22.0,-87.0,-413949.0,17000.0
48_C420,48_3835,48,2.0,11.0,5.0,22.0,54.0,-413949.0,172250.0
48_1077,48_C420,48,2.0,2.0,3.0,28.0,22.0,4865.0,-47621.0
48_6079,48_5323,48,1.0,2.0,6.0,411.0,559.0,294182.0,1128235.0
28_A330,28_3085,28,2.0,0.0,-10.0,16.0,3.0,-4000.0,910.0
1_C350,1_B310,1,2.0,1.0,14.0,226.0,14.0,53611.0,4059.0
48_1092,48_2108,48,2.0,-19.0,-19.0,31.0,5.0,-5207.0,-7100.0
48_K310,48_1168,48,8.0,-4.0,11.0,-5.0,16.0,-2000.0,600.0
48_K320,48_1168,48,8.0,-4.0,11.0,-5.0,16.0,-2000.0,600.0
48_K350,48_1168,48,8.0,-8.0,11.0,-5.0,16.0,-2000.0,600.0
26_A340,26_B321,26,2.0,7.0,8.0,-67.0,73.0,-44135.0,-7000.0
31_1030,31_A410,31,2.0,,0.0,41.0,7.0,13122.0,-6884.0
31_A310,31_A410,31,2.0,,0.0,41.0,7.0,13085.0,-6884.0
31_A320,31_A410,31,2.0,,0.0,41.0,7.0,13122.0,-6884.0
31_A330,31_A410,31,2.0,,0.0,41.0,7.0,13122.0,-6884.0
31_A350,31_A410,31,2.0,,0.0,41.0,7.0,12851.0,-6884.0
31_A351,31_A410,31,2.0,,0.0,41.0,7.0,12545.0,-6884.0
31_A352,31_A410,31,2.0,,0.0,41.0,7.0,12545.0,-6884.0
31_A353,31_6700,31,2.0,,5.0,41.0,23.0,12183.0,9074.0
27_B310,27_1028,27,2.0,8.0,,56.0,8.0,38813.0,1966.0
1_B310,1_C350,1,2.0,14.0,1.0,14.0,226.0,4059.0,53611.0
1_B320,1_C330,1,2.0,5.0,6.0,14.0,26.0,4146.0,6066.0
12_C320,12_1370,12,6.0,22.0,-5.0,52.0,54.0,32361.0,7165.0
12_C321,12_A350,12,6.0,8.0,-30.0,52.0,131.0,32361.0,67078.0
12_C330,12_A350,12,6.0,9.0,-30.0,30.0,131.0,18820.0,67078.0
12_4154,12_A350,12,6.0,0.0,-30.0,-234.0,131.0,-204619.0,67078.0
26_1012,26_A340,26,2.0,2.0,13.0,57.0,143.0,27000.0,22383.0
26_B321,26_A340,26,2.0,8.0,13.0,73.0,143.0,-7000.0,22383.0
26_B350,26_3069,26,2.0,-3.0,,73.0,-182.0,-7000.0,-63675.0
48_G350,48_1130,48,6.0,0.0,0.0,32.0,44.0,30800.0,4314.0
48_F320,48_1169,48,6.0,4.0,0.0,-25.0,14.0,9902.0,3729.0
48_F330,48_1169,48,6.0,2.0,0.0,-25.0,14.0,-12071.0,3729.0
27_D310,27_1028,27,2.0,1.0,,60.0,8.0,6229.0,1966.0
20_1010,20_1006,20,2.0,-1.0,,76.0,278.0,76200.0,38716.0
20_B330,20_1009,20,2.0,48.0,-4.0,315.0,132.0,76378.0,21055.0
20_B310,20_4052,20,2.0,0.0,0.0,-142.0,37.0,-33589.0,13786.0
20_B320,20_1009,20,2.0,10.0,-4.0,-142.0,132.0,-31378.0,21055.0
48_M340,48_1065,48,2.0,22.0,4.0,0.0,211.0,2642.0,78043.0
48_M310,48_3769,48,2.0,20.0,-16.0,0.0,278.0,2631.0,-2459.0
48_M320,48_1094,48,2.0,23.0,-8.0,0.0,25.0,2642.0,9580.0
48_H330,48_1169,48,6.0,3.0,-3.0,28.0,34.0,5033.0,4643.0
48_1039,48_1096,48,2.0,3.0,4.0,92.0,-1.0,29229.0,-323.0
47_A320,47_6022,47,2.0,0.0,,-6.0,-28.0,-862.0,-128861.0
47_A310,47_6022,47,2.0,0.0,,-9.0,-28.0,-2402.0,-128861.0
47_A330,47_6022,47,2.0,0.0,,-35.0,-28.0,-7742.0,-128861.0
48_2172,48_5274,48,1.0,0.0,0.0,92.0,-197.0,61836.0,-216000.0
40_C330,40_4087,40,2.0,2.0,-16.0,,76.0,,9102.0
27_1018,27_D310,27,2.0,13.0,1.0,55.0,60.0,64438.0,6229.0
40_C320,40_4163,40,2.0,5.0,-3.0,-2.0,167.0,-40.0,95200.0
40_C350,40_4163,40,2.0,1.0,3.0,-240.0,-41.0,-58174.0,-47070.0
48_F350,48_3669,48,6.0,0.0,0.0,129.0,-11.0,21100.0,-14208.0
48_N330,48_1111,48,2.0,2.0,-2.0,90.0,-19.0,34023.0,7606.0
48_N320,48_B330,48,2.0,-2.0,0.0,-65.0,-170.0,-19445.0,-49000.0
48_1183,48_5024,48,2.0,0.0,0.0,148.0,-89.0,-30216.0,-32383.0
48_E330,48_1068,48,2.0,-4.0,11.0,148.0,50.0,-30271.0,83456.0
48_E340,48_1109,48,2.0,-10.0,14.0,148.0,-36.0,-30216.0,-34197.0
27_D340,27_6251,27,2.0,3.0,-29.0,,42.0,,5000.0
27_1019,27_6251,27,2.0,0.0,-29.0,,42.0,,5000.0
47_C350,47_6015,47,1.0,0.0,,-502.0,-76.0,-31000.0,-30467.0
40_4157,40_4163,40,2.0,0.0,0.0,-15.0,-156.0,-7829.0,-121662.0
12_4000,12_1030,12,2.0,0.0,,13.0,5.0,15900.0,651.0
13_3020,13_1031,13,2.0,0.0,-1.0,-26.0,716.0,-21662.0,-6902.0
13_3017,13_4112,13,1.0,0.0,0.0,164.0,-59.0,64591.0,227088.0
4_BA01,4_1006,4,1.0,-1.0,0.0,1206.0,176.0,,24670.0
4_BA02,4_1006,4,1.0,-3.0,0.0,1206.0,176.0,,24670.0
4_BA03,4_1006,4,1.0,-1.0,0.0,1206.0,176.0,,24670.0
4_BA59,4_1006,4,1.0,-2.0,0.0,1206.0,176.0,,24670.0
4_BA60,4_1006,4,1.0,-3.0,0.0,1206.0,176.0,,24670.0
4_BA61,4_AA03,4,1.0,-5.0,-6.0,1206.0,-203.0,,
4_AA01,4_1006,4,1.0,-1.0,0.0,-203.0,177.0,,21841.0
4_AA02,4_BA61,4,1.0,-7.0,-5.0,-203.0,1206.0,,
4_AA03,4_BA61,4,1.0,-6.0,-5.0,-203.0,1206.0,,
4_AA59,4_1006,4,1.0,-1.0,0.0,-203.0,177.0,,21841.0
4_AA60,4_1006,4,1.0,-1.0,0.0,-203.0,177.0,,21841.0
4_AA61,4_1006,4,1.0,-1.0,0.0,-203.0,177.0,,21841.0
32_AA02,32_A452,32,1.0,0.0,,140.0,33.0,,104696.0
32_AA61,32_A456,32,1.0,-8.0,,140.0,33.0,,104696.0
32_AA62,32_A452,32,1.0,0.0,,140.0,33.0,,104696.0
32_AA59,32_A452,32,1.0,0.0,,140.0,33.0,,104696.0
32_AA60,32_A451,32,1.0,-24.0,,140.0,33.0,,104696.0
29_AA61,29_A310,29,2.0,-25.0,32.0,193.0,70.0,,12775.0
29_AA01,29_AA67,29,2.0,-6.0,-5.0,193.0,193.0,,
29_AA02,29_AA66,29,2.0,0.0,-1.0,193.0,193.0,,
29_AA03,29_AA67,29,2.0,-3.0,-5.0,193.0,193.0,,
29_AA62,29_AA67,29,2.0,-3.0,-5.0,193.0,193.0,,
29_AA63,29_AA66,29,2.0,-1.0,-1.0,193.0,193.0,,
29_AA64,29_AA67,29,2.0,-4.0,-5.0,193.0,193.0,,
29_AA65,29_A602,29,2.0,-9.0,0.0,193.0,6.0,,1493.0
29_AA66,29_AA63,29,2.0,-1.0,-1.0,193.0,193.0,,
29_AA67,29_AA01,29,2.0,-5.0,-6.0,193.0,193.0,,
41_AA01,41_2002,41,2.0,-11.0,-1.0,39.0,-272.0,,28903.0
41_AA02,41_2002,41,2.0,0.0,-1.0,39.0,-272.0,,28903.0
41_AA03,41_2002,41,2.0,0.0,-1.0,39.0,-272.0,,28903.0
41_AA59,41_2002,41,2.0,-7.0,-1.0,39.0,-272.0,,28903.0
41_AA60,41_2002,41,2.0,-1.0,-1.0,39.0,-272.0,,28903.0
53_AA02,53_3813,53,14.0,-24.0,-9.0,117.0,-49.0,,34782.0
53_BA59,53_3813,53,14.0,-23.0,-9.0,-103.0,-49.0,,34782.0
53_AA01,53_3813,53,14.0,-32.0,-9.0,117.0,-49.0,,34782.0
53_AA03,53_3813,53,14.0,-30.0,-9.0,117.0,-49.0,,34782.0
53_BA01,53_3813,53,14.0,-9.0,-9.0,-103.0,-49.0,,34782.0
53_BA60,53_3813,53,14.0,-19.0,-9.0,-103.0,-49.0,,34782.0
12_AA61,12_4138,12,2.0,-10.0,,-3.0,11.0,,12625.0
12_AA01,12_1030,12,2.0,-1.0,,-3.0,5.0,,651.0
12_AA02,12_4138,12,2.0,-20.0,,-3.0,11.0,,12625.0
12_AA03,12_B310,12,2.0,-33.0,-34.0,-3.0,-37.0,,166.0
35_AA01,35_2118,35,1.0,-4.0,-5.0,721.0,831.0,,229916.0
48_AA02,48_E320,48,2.0,0.0,3.0,6.0,148.0,1585.0,-30216.0
48_AA01,48_E320,48,2.0,0.0,3.0,6.0,148.0,1612.0,-30216.0
48_AA03,48_E320,48,2.0,0.0,3.0,6.0,148.0,1612.0,-30216.0
35_AA62,35_1005,35,1.0,0.0,0.0,721.0,-1165.0,,-228096.0
35_AA02,35_2118,35,1.0,-3.0,-5.0,721.0,831.0,,229916.0
35_AA03,35_2118,35,1.0,-5.0,-5.0,721.0,831.0,,229916.0
35_AA61,35_1005,35,1.0,0.0,0.0,721.0,-1165.0,,-228096.0
12_4106,12_3811,12,1.0,-23.0,8.0,65.0,307.0,10984.0,157033.0
41_5006,41_7018,41,1.0,0.0,,-55.0,1101.0,-181662.0,416865.0
41_5008,41_7018,41,1.0,-6.0,,103.0,1101.0,69223.0,416865.0
19_3055,19_3033,19,2.0,,0.0,192.0,62.0,140258.0,44376.0
30_8129,30_6004,30,2.0,-3.0,0.0,15.0,3.0,2126.0,2229.0
48_3769,48_M310,48,2.0,-16.0,20.0,278.0,0.0,-2459.0,2631.0
12_4096,12_A310,12,6.0,-1.0,-1.0,-12.0,177.0,11650.0,55428.0
37_1028,37_1803,37,2.0,-54.0,-13.0,19.0,0.0,572.0,-2444.0
12_4100,12_4105,12,14.0,-28.0,,-12.0,-12.0,-3460.0,798.0
53_3813,53_BA01,53,14.0,-9.0,-9.0,-49.0,-103.0,34782.0,
35_2118,35_1005,35,1.0,-5.0,0.0,831.0,-1165.0,229916.0,-228096.0
8_7780,8_1029,8,2.0,-10.0,13.0,-84.0,-60.0,-13508.0,-10746.0
48_5287,48_7165,48,11.0,-1.0,0.0,330.0,-306.0,-503500.0,-75701.0
