source_node_id,target_node_id,edge_type,graph_variants,state_names,route_fields,functional_class_fields,straight_line_distance_km,osm_path_distance_km,detour_ratio,status,topology_status,failure_reason,source_latitude,source_longitude,target_latitude,target_longitude,plain_english_explanation
51_5009,51_A340,spatial,"spatial, spatial_route, full_refined",Virginia,2_95 | 3_60,1 | 7,55.96823448826617,,,failed_no_path,,no_drive_path,37.50870895385742,-77.25269,37.0176887512207,-77.39173,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
51_5009,51_A310,spatial,"spatial, spatial_route, full_refined",Virginia,2_95 | 3_60,1 | 7,55.75947064756895,,,failed_no_path,,no_drive_path,37.50870895385742,-77.25269,37.01961135864258,-77.39172,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
51_5009,51_A350,spatial,"spatial, spatial_route, full_refined",Virginia,2_95 | 3_60,1 | 7,55.55239986308101,,,failed_no_path,,no_drive_path,37.50870895385742,-77.25269,37.02151870727539,-77.39171,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
51_5010,51_A340,spatial,"spatial, spatial_route, full_refined",Virginia,2_295 | 2_95,1,51.87785226297279,,,failed_no_path,,no_drive_path,37.478858947753906,-77.30299,37.0176887512207,-77.39173,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
51_5010,51_A310,spatial,"spatial, spatial_route, full_refined",Virginia,2_295 | 2_95,1,51.66639307822576,,,failed_no_path,,no_drive_path,37.478858947753906,-77.30299,37.01961135864258,-77.39172,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
4_0122,4_A310,same_route,"spatial_route, full_refined",Arizona,3_93,2,39.17226467612205,,,failed_no_path,,no_drive_path,35.419471740722656,-114.2755,35.72618865966797,-114.48855,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
19_0759,19_5042,same_route,"spatial_route, full_refined",Iowa,2_35,1,26.02037997496076,,,failed_no_path,,no_drive_path,42.34806060791016,-93.56998,42.5809211730957,-93.53862,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
4_0902,4_A903,same_route,"spatial_route, full_refined",Arizona,3_93,2,10.292584635510758,,,failed_no_path,,no_drive_path,35.39167022705078,-114.25538,35.47180938720703,-114.31223,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
4_0903,4_A902,same_route,"spatial_route, full_refined",Arizona,3_93,2,10.23622870520644,,,failed_no_path,,no_drive_path,35.47446823120117,-114.31407,35.39474868774414,-114.25757,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
4_0902,4_A901,same_route,"spatial_route, full_refined",Arizona,3_93,2,5.818659477817306,,,failed_no_path,,no_drive_path,35.39167022705078,-114.25538,35.436771392822266,-114.28794,"The graph links these sections, but OSM found no local drivable connection between them, so the edge is weak as a physical road link."
51_5010,51_A310,same_functional_class,full_refined,Virginia,2_295 | 2_95,1,51.666393078225674,,,failed_no_path,,no_drive_path,37.478858947753906,-77.30299,37.01961135864258,-77.39172,"The sections look similar in context, but OSM found no practical local drivable connection, so this behaves as a similarity edge rather than a physical link."
51_5010,51_A350,same_functional_class,full_refined,Virginia,2_295 | 2_95,1,51.45663007633028,,,failed_no_path,,no_drive_path,37.478858947753906,-77.30299,37.02151870727539,-77.39171,"The sections look similar in context, but OSM found no practical local drivable connection, so this behaves as a similarity edge rather than a physical link."
19_0707,19_5042,same_functional_class,full_refined,Iowa,2_35,1,24.248466837284457,,,failed_no_path,,no_drive_path,42.36408996582031,-93.57011,42.5809211730957,-93.53862,"The sections look similar in context, but OSM found no practical local drivable connection, so this behaves as a similarity edge rather than a physical link."
19_0706,19_5042,same_functional_class,full_refined,Iowa,2_35,1,23.950140105984616,,,failed_no_path,,no_drive_path,42.366790771484375,-93.57014,42.5809211730957,-93.53862,"The sections look similar in context, but OSM found no practical local drivable connection, so this behaves as a similarity edge rather than a physical link."
19_0705,19_5042,same_functional_class,full_refined,Iowa,2_35,1,23.412116816321554,,,failed_no_path,,no_drive_path,42.37165832519531,-93.57014,42.5809211730957,-93.53862,"The sections look similar in context, but OSM found no practical local drivable connection, so this behaves as a similarity edge rather than a physical link."
